sample	DADA2_input	filtered	denoised	nonchim
ERS1213560	33023	31972	31860	30664
ERS1213561	25295	24423	24377	23412
ERS1213562	13021	12651	12618	12524
ERS1213563	12308	11925	11871	11779
ERS1213564	11830	11631	11600	11489
ERS1213565	10414	10228	10196	10053
ERS1213566	13655	13316	13277	13223
ERS1213567	12638	12470	12433	12386
ERS1213568	10292	10048	10028	9895
ERS1213569	18916	18411	18376	18037
ERS1213570	39124	38218	38120	36482
ERS1213571	12577	12301	12263	12024
ERS1213572	15153	14724	14657	14516
ERS1213573	20168	19581	19510	19163
ERS1213574	10388	10058	10040	9898
ERS1213575	39630	38219	38143	37227
ERS1213576	21583	20983	20937	20256
ERS1213577	41814	40572	40480	39517
ERS1213578	16297	15714	15681	15417
ERS1213579	15109	14648	14604	14442
ERS1213580	13493	13091	13047	12922
ERS1213581	13195	12827	12787	12533
ERS1213582	20048	19418	19369	19045
ERS1213583	13093	12705	12662	12474
ERS1213584	43271	42048	41968	40889
ERS1213585	40901	39798	39731	38518
ERS1213586	26826	25951	25941	25470
ERS1213587	15258	14745	14696	14386
ERS1213588	13052	12584	12541	12343
ERS1213589	11663	10969	10959	10959
ERS1213590	6733	6364	6325	6298
ERS1213591	17432	16929	16834	16517
ERS1213592	31289	30415	30225	30040
ERS1213593	45533	44376	44120	43655
ERS1213594	12082	11792	11781	11662
ERS1213595	44161	43178	42963	41948
ERS1213596	20528	19601	19568	19296
ERS1213597	21423	20806	20755	20413
ERS1213598	29546	28781	28689	27967
ERS1213599	12031	11764	11733	11706
ERS1213600	37385	36289	36184	35411
ERS1213601	31676	31121	30901	30452
ERS1213602	26750	26348	26288	25928
ERS1213603	15768	15378	15298	15185
ERS1213604	19113	16782	16728	16322
ERS1213605	15854	15477	15430	15204
ERS1213606	16220	15711	15596	15332
ERS1213607	21002	20513	20387	20174
ERS1213608	21880	21566	21547	21547
ERS1213609	27202	26415	26244	25989
ERS1213610	19021	18683	18658	18649
