SRS6989844	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/046/SRR12203246/SRR12203246.fastq.gz
SRS6989843	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/047/SRR12203247/SRR12203247.fastq.gz
SRS6989842	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/048/SRR12203248/SRR12203248.fastq.gz
SRS6989841	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/049/SRR12203249/SRR12203249.fastq.gz
SRS6989840	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/050/SRR12203250/SRR12203250.fastq.gz
SRS6989839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/051/SRR12203251/SRR12203251.fastq.gz
SRS6989838	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/052/SRR12203252/SRR12203252.fastq.gz
SRS6989837	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/053/SRR12203253/SRR12203253.fastq.gz
SRS6989836	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/054/SRR12203254/SRR12203254.fastq.gz
SRS6989835	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/055/SRR12203255/SRR12203255.fastq.gz
SRS6989834	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/056/SRR12203256/SRR12203256.fastq.gz
SRS6989833	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/057/SRR12203257/SRR12203257.fastq.gz
SRS6989832	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/058/SRR12203258/SRR12203258.fastq.gz
SRS6989831	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/059/SRR12203259/SRR12203259.fastq.gz
SRS6989830	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/060/SRR12203260/SRR12203260.fastq.gz
SRS6989829	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/061/SRR12203261/SRR12203261.fastq.gz
SRS6989828	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/062/SRR12203262/SRR12203262.fastq.gz
SRS6989827	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/063/SRR12203263/SRR12203263.fastq.gz
SRS6989826	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/064/SRR12203264/SRR12203264.fastq.gz
